ID,Probability
6,0.0274
8,0.3844
15,0.3609
16,0.3482
23,0.1361
27,0.2678
28,0.3124
45,0.4722
46,0.2429
58,0.3124
60,0.3169
63,0.5261
67,0.2472
72,0.0182
87,0.2806
89,0.5126
102,0.2155
103,0.1958
105,0.3722
106,0.2605
107,0.3641
118,0.1015
123,0.3767
136,0.2237
138,0.2823
140,0.6661
147,0.2313
157,0.0179
159,0.2882
165,0.6371
167,0.6162
171,0.3979
175,0.3088
178,0.3956
179,0.3151
198,0.3496
209,0.4392
211,0.1165
214,0.2726
216,0.0186
217,0.4028
222,0.3191
232,0.3921
233,0.0213
244,0.1289
248,0.019
256,0.3879
258,0.4139
263,0.6404
270,0.2448
275,0.2678
288,0.4311
291,0.2728
295,0.3169
301,0.2849
307,0.2584
308,0.4524
312,0.0128
315,0.1621
318,0.2387
332,0.4165
341,0.1755
348,0.3461
350,0.1869
356,0.3904
357,0.3274
362,0.3643
364,0.319
365,0.4941
371,0.1745
372,0.5262
374,0.4912
380,0.0991
386,0.4527
387,0.036
390,0.5545
402,0.0976
406,0.037
410,0.0412
411,0.0044
420,0.4562
427,0.0592
449,0.2063
452,0.1465
457,0.3002
473,0.5014
475,0.3372
484,0.3318
486,0.0161
489,0.024
494,0.1537
496,0.4524
498,0.3372
503,0.2473
506,0.567
509,0.2217
512,0.2725
516,0.3091
521,0.3513
529,0.263
535,0.1337
537,0.435
543,0.3882
551,0.4896
552,0.3258
553,0.4546
557,0.0054
569,0.1803
571,0.2736
577,0.3577
578,0.006
579,0.0215
581,0.4258
584,0.4026
588,0.2964
592,0.1761
596,0.0736
597,0.1837
599,0.3234
601,0.3191
604,0.4665
606,0.3599
608,0.2846
610,0.2566
617,0.2183
618,0.1536
626,0.498
628,0.185
632,0.1456
634,0.3639
637,0.2203
640,0.358
646,0.2799
647,0.5976
653,0.7537
655,0.2259
656,0.0433
659,0.3467
661,0.176
671,0.153
676,0.3827
678,0.2453
683,0.2294
686,0.0298
687,0.2875
694,0.6445
695,0.2476
698,0.2352
699,0.1191
708,0.0549
711,0.3317
714,0.096
716,0.1924
720,0.5622
726,0.392
729,0.3903
731,0.4429
738,0.183
741,0.2121
742,0.122
750,0.467
753,0.2563
760,0.2214
761,0.2383
764,0.1752
773,0.3177
774,0.3986
781,0.0903
789,0.2597
793,0.3778
794,0.3317
796,0.1604
797,0.445
798,0.1907
803,0.2102
809,0.3061
815,0.1039
816,0.3431
821,0.0041
822,0.2176
835,0.12
838,0.3151
840,0.1441
847,0.4088
854,0.2891
860,0.0839
875,0.5443
879,0.3862
889,0.2953
891,0.2792
892,0.2171
898,0.2214
902,0.0027
910,0.353
912,0.2382
917,0.1521
920,0.0037
927,0.138
928,0.43
933,0.3552
934,0.4825
939,0.0332
944,0.2993
958,0.3474
960,0.259
966,0.1257
970,0.5069
972,0.4292
977,0.3239
989,0.1668
993,0.4294
994,0.1902
999,0.6114
1004,0.0616
1005,0.0027
1010,0.6162
1014,0.2047
1016,0.0818
1021,0.231
1024,0.0288
1031,0.0029
1033,0.2609
1038,0.1407
1043,0.3637
1045,0.2984
1047,0.3265
1049,0.234
1051,0.3123
1060,0.3753
1066,0.2815
1070,0.0487
1075,0.1525
1077,0.2315
1082,0.2018
1090,0.3476
1104,0.1677
1105,0.0163
1112,0.2232
1113,0.195
1114,0.6273
1118,0.4631
1120,0.549
1123,0.4045
1124,0.0027
1126,0.2492
1131,0.5742
1132,0.3048
1134,0.1262
1137,0.2004
1139,0.4094
1143,0.3423
1149,0.4132
1152,0.0144
1168,0.0025
1182,0.2352
1186,0.3135
1187,0.2093
1189,0.4707
1190,0.1726
1195,0.1694
1196,0.041
1208,0.0191
1221,0.3076
1223,0.3089
1227,0.458
1230,0.3269
1231,0.6778
1232,0.2569
1233,0.5633
1238,0.1951
1240,0.4522
1245,0.3889
1249,0.2432
1255,0.2132
1267,0.2421
1268,0.4285
1272,0.0476
1278,0.1634
1282,0.427
1289,0.2024
1291,0.2476
1299,0.0488
1300,0.3052
1305,0.4588
1307,0.1602
1316,0.0348
1319,0.394
1323,0.0036
1326,0.2507
1329,0.3095
1335,0.3226
1337,0.0924
1338,0.2349
1341,0.0029
1348,0.1663
1352,0.0051
1353,0.199
1368,0.7968
1371,0.3863
1372,0.771
1377,0.2172
1378,0.4589
1381,0.3
1382,0.0493
1386,0.2703
1392,0.4967
1395,0.1613
1402,0.2552
1405,0.2822
1414,0.1925
1417,0.2532
1426,0.0792
1428,0.1947
1431,0.3526
1433,0.5326
1434,0.0677
1435,0.1408
1436,0.2446
1437,0.243
1438,0.3148
